record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,60,0.01666667,1.9958,0.0000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.1000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.2000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.3000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.4000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.5000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.6000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.7000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.8000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,0.9000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,1.0000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,1.1000,0,28.0000,2.5500
sample_fixed,60,0.01666667,1.9958,1.2000,0,28.0001,2.5500
sample_fixed,60,0.01666667,1.9958,1.3000,0,28.0003,2.5500
sample_fixed,60,0.01666667,1.9958,1.4000,0,28.0008,2.5500
sample_fixed,60,0.01666667,1.9958,1.5000,0,28.0020,2.5500
sample_fixed,60,0.01666667,1.9958,1.6000,0,28.0047,2.5500
sample_fixed,60,0.01666667,1.9958,1.7000,0,28.0103,2.5500
sample_fixed,60,0.01666667,1.9958,1.8000,0,28.0213,2.5500
sample_fixed,60,0.01666667,1.9958,1.9000,0,28.0415,2.5488
sample_surface,60,0.01666667,1.9958,1.9958,1,28.0746,2.1081
sample_fixed,120,0.03333333,1.9915,0.0000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.1000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.2000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.3000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.4000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.5000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.6000,0,28.0000,2.5500
sample_fixed,120,0.03333333,1.9915,0.7000,0,28.0001,2.5500
sample_fixed,120,0.03333333,1.9915,0.8000,0,28.0002,2.5500
sample_fixed,120,0.03333333,1.9915,0.9000,0,28.0004,2.5500
sample_fixed,120,0.03333333,1.9915,1.0000,0,28.0008,2.5500
sample_fixed,120,0.03333333,1.9915,1.1000,0,28.0017,2.5500
sample_fixed,120,0.03333333,1.9915,1.2000,0,28.0032,2.5500
sample_fixed,120,0.03333333,1.9915,1.3000,0,28.0061,2.5500
sample_fixed,120,0.03333333,1.9915,1.4000,0,28.0113,2.5500
sample_fixed,120,0.03333333,1.9915,1.5000,0,28.0201,2.5500
sample_fixed,120,0.03333333,1.9915,1.6000,0,28.0346,2.5500
sample_fixed,120,0.03333333,1.9915,1.7000,0,28.0580,2.5500
sample_fixed,120,0.03333333,1.9915,1.8000,0,28.0943,2.5500
sample_fixed,120,0.03333333,1.9915,1.9000,0,28.1492,2.5326
sample_surface,120,0.03333333,1.9915,1.9915,1,28.2222,1.9741
sample_fixed,180,0.05000000,1.9873,0.0000,0,28.0000,2.5500
sample_fixed,180,0.05000000,1.9873,0.1000,0,28.0000,2.5500
sample_fixed,180,0.05000000,1.9873,0.2000,0,28.0001,2.5500
